Gyro x,Gyro y,Gyro z,Accelerometer x,Accelerometer y,Accelerometer z,Current time
534.1187,-171.9971,-77.0264,-0.1501,-0.5421,-0.2603,6481
342.3462,-106.8115,-7.7515,-0.1052,-0.5654,-0.2915,6496
115.5396,-52.7954,53.7109,-0.1249,-0.579,-0.2899,6512
18.5547,-34.0576,78.5522,-0.0997,-0.594,-0.2704,6527
-101.6235,-14.5264,109.9243,-0.1023,-0.5637,-0.2169,6543
-125.4883,-9.9487,116.2109,-0.0991,-0.52,-0.1733,6559
-102.9663,-2.0752,106.5063,-0.0781,-0.4818,-0.1624,6574
-92.7734,18.9209,78.0029,-0.0892,-0.458,-0.115,6590
-57.4951,33.9355,56.7627,-0.0995,-0.4609,-0.1007,6606
48.3398,70.1904,5.5542,-0.1099,-0.5131,-0.1519,6621
90.0269,90.7593,-33.2031,-0.1196,-0.5619,-0.2073,6637
135.9863,122.4976,-52.7954,-0.1528,-0.6627,-0.2965,6653
152.8931,143.4937,-72.4487,-0.1753,-0.7704,-0.3981,6669
141.9678,154.3579,-76.416,-0.1854,-0.8322,-0.436,6684
106.3232,177.6123,-78.3691,-0.2057,-0.9639,-0.5,6700
64.0259,203.9185,-75.3174,-0.215,-1.0317,-0.5361,6715
45.4102,217.7734,-71.2891,-0.2357,-1.1907,-0.5966,6730
8.9111,243.8965,-59.8145,-0.2526,-1.3616,-0.6559,6746
-10.437,254.0894,-51.1475,-0.2592,-1.4337,-0.6714,6762
-45.7764,264.6484,-27.5269,-0.2738,-1.5651,-0.7117,6778
-75.3174,256.4697,8.9111,-0.2803,-1.6219,-0.7255,6794
-89.7217,243.5913,33.0811,-0.2758,-1.6034,-0.7234,6810
-127.8076,202.8809,87.1582,-0.2679,-1.5116,-0.6934,6826
-151.123,151.001,138.916,-0.2559,-1.4512,-0.6725,6842
-164.917,127.7466,159.2407,-0.2257,-1.3667,-0.6139,6858
-168.396,94.6045,186.0352,-0.2067,-1.3737,-0.5487,6873
-116.5771,75.5615,186.7676,-0.1921,-1.4115,-0.5402,6889
-84.1675,68.9697,177.9785,-0.1692,-1.501,-0.5161,6905
-4.4556,58.0444,147.2168,-0.1527,-1.5225,-0.4987,6920
35.8276,52.1851,126.5259,-0.1477,-1.4994,-0.4938,6936
111.9995,43.0908,83.6182,-0.1475,-1.401,-0.4587,6952
176.3306,44.0063,47.4243,-0.1479,-1.3447,-0.4484,6968
196.5332,48.9502,32.2266,-0.151,-1.254,-0.4408,6984
210.6323,65.7349,8.1177,-0.1484,-1.2046,-0.447,6999
202.2705,87.2192,-8.8501,-0.1501,-1.1888,-0.4462,7015
172.8516,97.6563,-14.5874,-0.166,-1.1698,-0.4525,7030
143.8599,112.915,-21.5454,-0.1747,-1.1749,-0.475,7046
122.1313,117.8589,-22.0947,-0.1824,-1.1741,-0.4763,7062
76.5381,124.5117,-15.1367,-0.1954,-1.1611,-0.4823,7078
27.771,124.8779,0.9766,-0.2001,-1.1454,-0.4755,7094
9.1553,122.9248,10.6812,-0.2036,-1.1075,-0.459,7110
-22.7051,115.1733,31.9824,-0.2007,-1.069,-0.439,7126
-43.9453,104.126,51.8188,-0.1958,-1.0438,-0.4299,7142
-52.1851,97.7783,60.1807,-0.1826,-0.9937,-0.4021,7158
-61.2183,84.8999,73.4863,-0.165,-0.9402,-0.3735,7173
-61.6455,78.125,78.064,-0.1547,-0.9158,-0.3634,7189
-60.4248,63.3545,83.0078,-0.1379,-0.8735,-0.3461,7204
